a=	-1.000000	b=	+1.000000	n=	+80	h=	+0.025000
x	g(x)	g'(x)	g''(x)
+0.740000	+0.117269	+0.091080	+0.000000
+0.741000	+0.117360	+0.091080	+0.000000
+0.742000	+0.117452	+0.091080	+0.000000
+0.743000	+0.117543	+0.091080	+0.000000
+0.744000	+0.117634	+0.091080	+0.000000
+0.745000	+0.117725	+0.091080	+0.000000
+0.746000	+0.117816	+0.091080	+0.000000
+0.747000	+0.117907	+0.091080	+0.000000
+0.748000	+0.117998	+0.091080	+0.000000
+0.749000	+0.118089	+0.091080	+0.000000
+0.750000	+0.118180	+0.091080	+0.000000
+0.751000	+0.118261	+0.080570	+0.000000
+0.752000	+0.118341	+0.080570	+0.000000
+0.753000	+0.118422	+0.080570	+0.000000
+0.754000	+0.118502	+0.080570	+0.000000
+0.755000	+0.118583	+0.080570	+0.000000
+0.756000	+0.118664	+0.080570	+0.000000
+0.757000	+0.118744	+0.080570	+0.000000
+0.758000	+0.118825	+0.080570	+0.000000
+0.759000	+0.118905	+0.080570	+0.000000
+0.760000	+0.118986	+0.080570	+0.000000
+0.761000	+0.119066	+0.080570	+0.000000
+0.762000	+0.119147	+0.080570	+0.000000
+0.763000	+0.119228	+0.080570	+0.000000
+0.764000	+0.119308	+0.080570	+0.000000
+0.765000	+0.119389	+0.080570	+0.000000
+0.766000	+0.119469	+0.080570	+0.000000
+0.767000	+0.119550	+0.080570	+0.000000
+0.768000	+0.119630	+0.080570	+0.000000
+0.769000	+0.119711	+0.080570	+0.000000
+0.770000	+0.119792	+0.080570	+0.000000
+0.771000	+0.119872	+0.080570	+0.000000
+0.772000	+0.119953	+0.080570	+0.000000
+0.773000	+0.120033	+0.080570	+0.000000
+0.774000	+0.120114	+0.080570	+0.000000
+0.775000	+0.120194	+0.080570	+0.000000
+0.776000	+0.120273	+0.078235	+0.000000
+0.777000	+0.120351	+0.078235	+0.000000
+0.778000	+0.120429	+0.078235	+0.000000
+0.779000	+0.120507	+0.078235	+0.000000
+0.780000	+0.120586	+0.078235	+0.000000
+0.781000	+0.120664	+0.078235	+0.000000
+0.782000	+0.120742	+0.078235	+0.000000
+0.783000	+0.120820	+0.078235	+0.000000
+0.784000	+0.120899	+0.078235	+0.000000
+0.785000	+0.120977	+0.078235	+0.000000
+0.786000	+0.121055	+0.078235	+0.000000
+0.787000	+0.121133	+0.078235	+0.000000
+0.788000	+0.121211	+0.078235	+0.000000
+0.789000	+0.121290	+0.078235	+0.000000
+0.790000	+0.121368	+0.078235	+0.000000
+0.791000	+0.121446	+0.078235	+0.000000
+0.792000	+0.121524	+0.078235	+0.000000
+0.793000	+0.121603	+0.078235	+0.000000
+0.794000	+0.121681	+0.078235	+0.000000
+0.795000	+0.121759	+0.078235	+0.000000
+0.796000	+0.121837	+0.078235	+0.000000
+0.797000	+0.121916	+0.078235	+0.000000
+0.798000	+0.121994	+0.078235	+0.000000
+0.799000	+0.122072	+0.078235	+0.000000
+0.800000	+0.122150	+0.078235	+0.000000
+0.801000	+0.122215	+0.064576	+0.000000
+0.802000	+0.122279	+0.064576	+0.000000
+0.803000	+0.122344	+0.064576	+0.000000
+0.804000	+0.122409	+0.064576	+0.000000
+0.805000	+0.122473	+0.064576	+0.000000
+0.806000	+0.122538	+0.064576	+0.000000
+0.807000	+0.122602	+0.064576	+0.000000
+0.808000	+0.122667	+0.064576	+0.000000
+0.809000	+0.122732	+0.064576	+0.000000
+0.810000	+0.122796	+0.064576	+0.000000
+0.811000	+0.122861	+0.064576	+0.000000
+0.812000	+0.122925	+0.064576	+0.000000
+0.813000	+0.122990	+0.064576	+0.000000
+0.814000	+0.123054	+0.064576	+0.000000
+0.815000	+0.123119	+0.064576	+0.000000
+0.816000	+0.123184	+0.064576	+0.000000
+0.817000	+0.123248	+0.064576	+0.000000
+0.818000	+0.123313	+0.064576	+0.000000
+0.819000	+0.123377	+0.064576	+0.000000
+0.820000	+0.123442	+0.064576	+0.000000
+0.821000	+0.123506	+0.064576	+0.000000
+0.822000	+0.123571	+0.064576	+0.000000
+0.823000	+0.123636	+0.064576	+0.000000
+0.824000	+0.123700	+0.064576	+0.000000
+0.825000	+0.123765	+0.064576	+0.000000
+0.826000	+0.123829	+0.064131	+0.000000
+0.827000	+0.123893	+0.064131	+0.000000
+0.828000	+0.123957	+0.064131	+0.000000
+0.829000	+0.124021	+0.064131	+0.000000
+0.830000	+0.124085	+0.064131	+0.000000
+0.831000	+0.124150	+0.064131	+0.000000
+0.832000	+0.124214	+0.064131	+0.000000
+0.833000	+0.124278	+0.064131	+0.000000
+0.834000	+0.124342	+0.064131	+0.000000
+0.835000	+0.124406	+0.064131	+0.000000
+0.836000	+0.124470	+0.064131	+0.000000
+0.837000	+0.124534	+0.064131	+0.000000
+0.838000	+0.124598	+0.064131	+0.000000
+0.839000	+0.124663	+0.064131	+0.000000
+0.840000	+0.124727	+0.064131	+0.000000
+0.841000	+0.124791	+0.064131	+0.000000
+0.842000	+0.124855	+0.064131	+0.000000
+0.843000	+0.124919	+0.064131	+0.000000
+0.844000	+0.124983	+0.064131	+0.000000
+0.845000	+0.125047	+0.064131	+0.000000
+0.846000	+0.125111	+0.064131	+0.000000
+0.847000	+0.125176	+0.064131	+0.000000
+0.848000	+0.125240	+0.064131	+0.000000
+0.849000	+0.125304	+0.064131	+0.000000
+0.850000	+0.125368	+0.064131	+0.000000
+0.851000	+0.125419	+0.050992	+0.000000
+0.852000	+0.125470	+0.050992	+0.000000
+0.853000	+0.125521	+0.050992	+0.000000
+0.854000	+0.125572	+0.050992	+0.000000
+0.855000	+0.125623	+0.050992	+0.000000
+0.856000	+0.125674	+0.050992	+0.000000
+0.857000	+0.125725	+0.050992	+0.000000
+0.858000	+0.125776	+0.050992	+0.000000
+0.859000	+0.125827	+0.050992	+0.000000
+0.860000	+0.125878	+0.050992	+0.000000
+0.861000	+0.125929	+0.050992	+0.000000
+0.862000	+0.125980	+0.050992	+0.000000
+0.863000	+0.126031	+0.050992	+0.000000
+0.864000	+0.126082	+0.050992	+0.000000
+0.865000	+0.126133	+0.050992	+0.000000
+0.866000	+0.126184	+0.050992	+0.000000
+0.867000	+0.126235	+0.050992	+0.000000
+0.868000	+0.126286	+0.050992	+0.000000
+0.869000	+0.126337	+0.050992	+0.000000
+0.870000	+0.126388	+0.050992	+0.000000
+0.871000	+0.126439	+0.050992	+0.000000
+0.872000	+0.126490	+0.050992	+0.000000
+0.873000	+0.126541	+0.050992	+0.000000
+0.874000	+0.126592	+0.050992	+0.000000
+0.875000	+0.126643	+0.050992	+0.000000
+0.876000	+0.126685	+0.042650	+0.000000
+0.877000	+0.126728	+0.042650	+0.000000
+0.878000	+0.126771	+0.042650	+0.000000
+0.879000	+0.126813	+0.042650	+0.000000
+0.880000	+0.126856	+0.042650	+0.000000
+0.881000	+0.126899	+0.042650	+0.000000
+0.882000	+0.126941	+0.042650	+0.000000
+0.883000	+0.126984	+0.042650	+0.000000
+0.884000	+0.127027	+0.042650	+0.000000
+0.885000	+0.127069	+0.042650	+0.000000
+0.886000	+0.127112	+0.042650	+0.000000
+0.887000	+0.127155	+0.042650	+0.000000
+0.888000	+0.127197	+0.042650	+0.000000
+0.889000	+0.127240	+0.042650	+0.000000
+0.890000	+0.127283	+0.042650	+0.000000
+0.891000	+0.127325	+0.042650	+0.000000
+0.892000	+0.127368	+0.042650	+0.000000
+0.893000	+0.127410	+0.042650	+0.000000
+0.894000	+0.127453	+0.042650	+0.000000
+0.895000	+0.127496	+0.042650	+0.000000
+0.896000	+0.127538	+0.042650	+0.000000
+0.897000	+0.127581	+0.042650	+0.000000
+0.898000	+0.127624	+0.042650	+0.000000
+0.899000	+0.127666	+0.042650	+0.000000
+0.900000	+0.127709	+0.042650	+0.000000
+0.901000	+0.127743	+0.034040	+0.000000
+0.902000	+0.127777	+0.034040	+0.000000
+0.903000	+0.127811	+0.034040	+0.000000
+0.904000	+0.127845	+0.034040	+0.000000
+0.905000	+0.127879	+0.034040	+0.000000
+0.906000	+0.127913	+0.034040	+0.000000
+0.907000	+0.127947	+0.034040	+0.000000
+0.908000	+0.127981	+0.034040	+0.000000
+0.909000	+0.128015	+0.034040	+0.000000
+0.910000	+0.128049	+0.034040	+0.000000
+0.911000	+0.128083	+0.034040	+0.000000
+0.912000	+0.128118	+0.034040	+0.000000
+0.913000	+0.128152	+0.034040	+0.000000
+0.914000	+0.128186	+0.034040	+0.000000
+0.915000	+0.128220	+0.034040	+0.000000
+0.916000	+0.128254	+0.034040	+0.000000
+0.917000	+0.128288	+0.034040	+0.000000
+0.918000	+0.128322	+0.034040	+0.000000
+0.919000	+0.128356	+0.034040	+0.000000
+0.920000	+0.128390	+0.034040	+0.000000
+0.921000	+0.128424	+0.034040	+0.000000
+0.922000	+0.128458	+0.034040	+0.000000
+0.923000	+0.128492	+0.034040	+0.000000
+0.924000	+0.128526	+0.034040	+0.000000
+0.925000	+0.128560	+0.034040	+0.000000
+0.926000	+0.128580	+0.019571	+0.000000
+0.927000	+0.128599	+0.019571	+0.000000
+0.928000	+0.128619	+0.019571	+0.000000
+0.929000	+0.128638	+0.019571	+0.000000
+0.930000	+0.128658	+0.019571	+0.000000
+0.931000	+0.128677	+0.019571	+0.000000
+0.932000	+0.128697	+0.019571	+0.000000
+0.933000	+0.128717	+0.019571	+0.000000
+0.934000	+0.128736	+0.019571	+0.000000
+0.935000	+0.128756	+0.019571	+0.000000
+0.936000	+0.128775	+0.019571	+0.000000
+0.937000	+0.128795	+0.019571	+0.000000
+0.938000	+0.128814	+0.019571	+0.000000
+0.939000	+0.128834	+0.019571	+0.000000
+0.940000	+0.128854	+0.019571	+0.000000
+0.941000	+0.128873	+0.019571	+0.000000
+0.942000	+0.128893	+0.019571	+0.000000
+0.943000	+0.128912	+0.019571	+0.000000
+0.944000	+0.128932	+0.019571	+0.000000
+0.945000	+0.128951	+0.019571	+0.000000
+0.946000	+0.128971	+0.019571	+0.000000
+0.947000	+0.128991	+0.019571	+0.000000
+0.948000	+0.129010	+0.019571	+0.000000
+0.949000	+0.129030	+0.019571	+0.000000
+0.950000	+0.129049	+0.019571	+0.000000
+0.951000	+0.129068	+0.018814	+0.000000
+0.952000	+0.129087	+0.018814	+0.000000
+0.953000	+0.129106	+0.018814	+0.000000
+0.954000	+0.129125	+0.018814	+0.000000
+0.955000	+0.129143	+0.018814	+0.000000
+0.956000	+0.129162	+0.018814	+0.000000
+0.957000	+0.129181	+0.018814	+0.000000
+0.958000	+0.129200	+0.018814	+0.000000
+0.959000	+0.129219	+0.018814	+0.000000
+0.960000	+0.129237	+0.018814	+0.000000
+0.961000	+0.129256	+0.018814	+0.000000
+0.962000	+0.129275	+0.018814	+0.000000
+0.963000	+0.129294	+0.018814	+0.000000
+0.964000	+0.129313	+0.018814	+0.000000
+0.965000	+0.129332	+0.018814	+0.000000
+0.966000	+0.129350	+0.018814	+0.000000
+0.967000	+0.129369	+0.018814	+0.000000
+0.968000	+0.129388	+0.018814	+0.000000
+0.969000	+0.129407	+0.018814	+0.000000
+0.970000	+0.129426	+0.018814	+0.000000
+0.971000	+0.129444	+0.018814	+0.000000
+0.972000	+0.129463	+0.018814	+0.000000
+0.973000	+0.129482	+0.018814	+0.000000
+0.974000	+0.129501	+0.018814	+0.000000
+0.975000	+0.129520	+0.018814	+0.000000
+0.976000	+0.129521	+0.001778	+0.000000
+0.977000	+0.129523	+0.001778	+0.000000
+0.978000	+0.129525	+0.001778	+0.000000
+0.979000	+0.129527	+0.001778	+0.000000
+0.980000	+0.129529	+0.001778	+0.000000
+0.981000	+0.129530	+0.001778	+0.000000
+0.982000	+0.129532	+0.001778	+0.000000
+0.983000	+0.129534	+0.001778	+0.000000
+0.984000	+0.129536	+0.001778	+0.000000
+0.985000	+0.129537	+0.001778	+0.000000
+0.986000	+0.129539	+0.001778	+0.000000
+0.987000	+0.129541	+0.001778	+0.000000
+0.988000	+0.129543	+0.001778	+0.000000
+0.989000	+0.129545	+0.001778	+0.000000
+0.990000	+0.129546	+0.001778	+0.000000
+0.991000	+0.129548	+0.001778	+0.000000
+0.992000	+0.129550	+0.001778	+0.000000
+0.993000	+0.129552	+0.001778	+0.000000
+0.994000	+0.129553	+0.001778	+0.000000
+0.995000	+0.129555	+0.001778	+0.000000
+0.996000	+0.129557	+0.001778	+0.000000
+0.997000	+0.129559	+0.001778	+0.000000
+0.998000	+0.129561	+0.001778	+0.000000
+0.999000	+0.129562	+0.001778	+0.000000
+1.000000	+0.129564	+0.001778	+0.000000
